Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales(in dollars),Operating Profit(in dollars),Sales Method
Foot Locker,1185732,09-02-2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,850,425000,148750,Outlet
Foot Locker,1185732,10-02-2020,Northeast,New York,New York,Men's Apparel,60.00,875,525000,157500,Outlet
Foot Locker,1185732,03-03-2020,Northeast,New York,New York,Women's Apparel,65.00,1000,650000,162500,Outlet
Foot Locker,1185732,04-03-2020,Northeast,New York,New York,Men's Street Footwear,60.00,1250,750000,375000,Outlet
Foot Locker,1185732,05-03-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000,550000,165000,Outlet
Foot Locker,1185732,06-03-2020,Northeast,New York,New York,Women's Street Footwear,50.00,925,462500,161875,Outlet
Foot Locker,1185732,07-03-2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900,450000,157500,Outlet
Foot Locker,1185732,08-03-2020,Northeast,New York,New York,Men's Apparel,60.00,900,540000,162000,Outlet
Foot Locker,1185732,09-03-2020,Northeast,New York,New York,Women's Apparel,65.00,1050,682500,170625,Outlet
Foot Locker,1185732,10-03-2020,Northeast,New York,New York,Men's Street Footwear,60.00,1275,765000,382500,Outlet
Foot Locker,1185732,11-03-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1025,563750,169125,Outlet
Foot Locker,1185732,12-03-2020,Northeast,New York,New York,Women's Street Footwear,50.00,950,475000,166250,Outlet
Foot Locker,1185732,13-03-2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900,450000,157500,Outlet
Foot Locker,1185732,14-03-2020,Northeast,New York,New York,Men's Apparel,60.00,925,555000,166500,Outlet
Foot Locker,1185732,15-03-2020,Northeast,New York,New York,Women's Apparel,65.00,1100,715000,178750,Outlet
Foot Locker,1185732,16-03-2020,Northeast,New York,New York,Men's Street Footwear,60.00,1250,750000,375000,Outlet
Foot Locker,1185732,17-03-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1025,563750,169125,Outlet
Foot Locker,1185732,18-03-2020,Northeast,New York,New York,Women's Street Footwear,50.00,950,475000,166250,Outlet
Foot Locker,1185732,31-03-2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,925,462500,161875,Outlet
Walmart,1185732,17-04-2020,Northeast,New York,New York,Men's Apparel,60.00,900,540000,162000,Outlet
Walmart,1185732,18-04-2020,Northeast,New York,New York,Women's Apparel,65.00,1075,698750,174688,Outlet
Walmart,1185732,19-04-2020,Northeast,New York,New York,Men's Street Footwear,60.00,1200,720000,360000,Outlet
Walmart,1185732,20-04-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000,550000,165000,Outlet
Walmart,1185732,21-04-2020,Northeast,New York,New York,Women's Street Footwear,50.00,925,462500,161875,Outlet
Walmart,1185732,22-04-2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900,450000,157500,Outlet
Walmart,1185732,23-04-2020,Northeast,New York,New York,Men's Apparel,60.00,900,540000,162000,Outlet
Walmart,1185732,24-04-2020,Northeast,New York,New York,Women's Apparel,65.00,1000,650000,162500,Outlet
Walmart,1185732,25-04-2020,Northeast,New York,New York,Men's Apparel,65.00,875,568750,170625,Outlet
Walmart,1185732,26-04-2020,Northeast,New York,New York,Women's Apparel,70.00,1000,700000,175000,Outlet
Walmart,1185732,27-04-2020,Northeast,New York,New York,Men's Street Footwear,65.00,1150,747500,373750,Outlet
Walmart,1185732,28-04-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,975,536250,160875,Outlet
Walmart,1185732,29-04-2020,Northeast,New York,New York,Women's Street Footwear,55.00,920,506000,177100,Outlet
Walmart,1185732,30-04-2020,Northeast,New York,New York,Women's Athletic Footwear,55.00,900,495000,173250,Outlet
Walmart,1185732,01-05-2020,Northeast,New York,New York,Men's Apparel,65.00,875,568750,170625,Outlet
Walmart,1185732,02-05-2020,Northeast,New York,New York,Women's Apparel,70.00,975,682500,170625,Outlet
Walmart,1185732,03-05-2020,Northeast,New York,New York,Men's Street Footwear,65.00,1200,780000,390000,Outlet
Walmart,1185732,04-05-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000,550000,165000,Outlet
Walmart,1185732,05-05-2020,Northeast,New York,New York,Women's Street Footwear,55.00,950,522500,182875,Outlet
Walmart,1185732,06-05-2020,Northeast,New York,New York,Women's Athletic Footwear,55.00,900,495000,173250,Outlet
Walmart,1185732,07-05-2020,Northeast,New York,New York,Men's Apparel,65.00,900,585000,175500,Outlet
Walmart,1185732,18-07-2020,Northeast,New York,New York,Women's Apparel,70.00,1000,700000,175000,Outlet
Sports Direct,1197831,19-07-2020,Northeast,New York,New York,Men's Street Footwear,25.00,900,225000,78750,Outlet
Sports Direct,1197831,20-07-2020,Northeast,New York,New York,Men's Athletic Footwear,35.00,900,315000,110250,Outlet
Sports Direct,1197831,21-07-2020,Northeast,New York,New York,Women's Street Footwear,35.00,700,245000,85750,Outlet
Sports Direct,1197831,22-07-2020,Northeast,New York,New York,Women's Athletic Footwear,35.00,700,245000,110250,Outlet
Sports Direct,1197831,23-07-2020,South,Texas,Houston,Men's Apparel,40.00,550,220000,66000,Outlet
Sports Direct,1197831,24-07-2020,South,Texas,Houston,Women's Apparel,35.00,700,245000,122500,Outlet
Sports Direct,1197831,25-07-2020,South,Texas,Houston,Men's Street Footwear,25.00,850,212500,74375,Outlet
Sports Direct,1197831,26-07-2020,South,Texas,Houston,Men's Athletic Footwear,35.00,850,297500,104125,Outlet
Sports Direct,1197831,27-07-2020,South,Texas,Houston,Women's Street Footwear,35.00,675,236250,82688,Outlet
Sports Direct,1197831,28-07-2020,South,Texas,Houston,Women's Athletic Footwear,35.00,625,218750,98438,Outlet
Sports Direct,1197831,29-07-2020,South,Texas,Houston,Men's Apparel,40.00,500,200000,60000,Outlet
Sports Direct,1197831,30-07-2020,South,Texas,Houston,Women's Apparel,35.00,700,245000,122500,Outlet
Sports Direct,1197831,31-07-2020,South,Texas,Houston,Men's Street Footwear,30.00,875,262500,91875,Outlet
Sports Direct,1197831,01-08-2020,South,Texas,Houston,Men's Athletic Footwear,40.00,875,350000,122500,Outlet
Sports Direct,1197831,02-08-2020,South,Texas,Houston,Women's Street Footwear,35.00,700,245000,85750,Outlet
Sports Direct,1197831,03-08-2020,South,Texas,Houston,Women's Athletic Footwear,40.00,600,240000,108000,Outlet
Sports Direct,1197831,04-08-2020,South,Texas,Houston,Men's Apparel,45.00,500,225000,67500,Outlet
Sports Direct,1197831,05-08-2020,South,Texas,Houston,Women's Apparel,40.00,650,260000,130000,Outlet
Sports Direct,1197831,06-08-2020,South,Texas,Houston,Men's Street Footwear,30.00,900,270000,94500,Outlet
Sports Direct,1197831,07-08-2020,South,Texas,Houston,Men's Athletic Footwear,40.00,900,360000,126000,Outlet
Sports Direct,1197831,08-08-2020,South,Texas,Houston,Women's Street Footwear,35.00,725,253750,88813,Outlet
Sports Direct,1197831,09-08-2020,South,Texas,Houston,Women's Athletic Footwear,40.00,625,250000,112500,Outlet
Walmart,1197831,10-08-2020,South,Texas,Houston,Men's Apparel,45.00,525,236250,70875,Outlet
Walmart,1197831,11-08-2020,South,Texas,Houston,Women's Apparel,40.00,800,320000,160000,Outlet
Walmart,1197831,12-08-2020,South,Texas,Houston,Men's Street Footwear,30.00,925,277500,97125,Outlet
Walmart,1197831,13-08-2020,South,Texas,Houston,Men's Athletic Footwear,40.00,925,370000,129500,Outlet
Walmart,1197831,14-08-2020,South,Texas,Houston,Women's Street Footwear,35.00,775,271250,94938,Outlet
Walmart,1197831,15-08-2020,South,Texas,Houston,Women's Athletic Footwear,40.00,700,280000,126000,Outlet
Walmart,1197831,16-08-2020,South,Texas,Houston,Men's Apparel,45.00,600,270000,81000,Outlet
Walmart,1197831,17-08-2020,South,Texas,Houston,Women's Apparel,40.00,950,380000,190000,Outlet
Walmart,1197831,18-08-2020,South,Texas,Houston,Men's Street Footwear,40.00,950,380000,133000,Outlet
Walmart,1197831,19-08-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950,427500,149625,Outlet
Walmart,1197831,20-08-2020,South,Texas,Houston,Women's Street Footwear,40.00,800,320000,112000,Outlet
Walmart,1197831,21-08-2020,South,Texas,Houston,Women's Athletic Footwear,40.00,750,300000,135000,Outlet
Walmart,1197831,22-08-2020,South,Texas,Houston,Men's Apparel,45.00,650,292500,87750,Outlet
Walmart,1197831,23-08-2020,South,Texas,Houston,Women's Apparel,50.00,1000,500000,250000,Outlet
Walmart,1197831,24-08-2020,South,Texas,Houston,Men's Street Footwear,40.00,950,380000,133000,Outlet
Walmart,1197831,25-08-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950,427500,149625,Outlet
Walmart,1197831,26-08-2020,South,Texas,Houston,Women's Street Footwear,40.00,1100,440000,154000,Outlet
Walmart,1197831,27-08-2020,South,Texas,Houston,Women's Athletic Footwear,40.00,700,280000,126000,Outlet
Walmart,1197831,28-08-2020,South,Texas,Houston,Men's Apparel,45.00,700,315000,94500,Outlet
Walmart,1197831,29-08-2020,South,Texas,Houston,Women's Apparel,50.00,975,487500,243750,Outlet
Walmart,1197831,30-08-2020,South,Texas,Houston,Men's Street Footwear,40.00,925,370000,129500,Outlet
Walmart,1197831,31-08-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,925,416250,145688,Outlet
Walmart,1197831,01-09-2020,South,Texas,Houston,Women's Street Footwear,40.00,1100,440000,154000,Outlet
Walmart,1197831,02-09-2020,South,Texas,Houston,Women's Athletic Footwear,40.00,650,260000,117000,Outlet
Walmart,1197831,03-09-2020,South,Texas,Houston,Men's Apparel,45.00,650,292500,87750,Outlet
Walmart,1197831,04-09-2020,South,Texas,Houston,Women's Apparel,50.00,900,450000,225000,Outlet
Walmart,1197831,05-09-2020,South,Texas,Houston,Men's Street Footwear,45.00,850,382500,133875,Outlet
Walmart,1197831,06-09-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,850,382500,133875,Outlet
Walmart,1197831,07-09-2020,South,Texas,Houston,Women's Street Footwear,50.00,900,450000,157500,Outlet
Walmart,1197831,08-09-2020,South,Texas,Houston,Women's Athletic Footwear,50.00,625,312500,140625,Outlet
Walmart,1197831,09-09-2020,South,Texas,Houston,Men's Apparel,45.00,625,281250,84375,Outlet
Walmart,1197831,10-09-2020,South,Texas,Houston,Women's Apparel,55.00,850,467500,233750,Outlet
Walmart,1197831,11-09-2020,South,Texas,Houston,Men's Street Footwear,45.00,800,360000,126000,Outlet
Walmart,1197831,12-09-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,800,360000,126000,Outlet
Walmart,1197831,13-09-2020,South,Texas,Houston,Women's Street Footwear,50.00,750,375000,131250,Outlet
Walmart,1197831,14-09-2020,South,Texas,Houston,Women's Athletic Footwear,50.00,600,300000,135000,Outlet
Walmart,1197831,15-09-2020,South,Texas,Houston,Men's Apparel,45.00,575,258750,77625,Outlet
Walmart,1197831,16-09-2020,South,Texas,Houston,Women's Apparel,55.00,750,412500,206250,Outlet
Walmart,1197831,20-10-2020,South,Texas,Houston,Men's Street Footwear,45.00,900,405000,141750,Outlet
Walmart,1197831,21-10-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,900,405000,141750,Outlet
Walmart,1197831,22-10-2020,South,Texas,Houston,Women's Street Footwear,50.00,825,412500,144375,Outlet
Walmart,1197831,23-10-2020,South,Texas,Houston,Women's Athletic Footwear,50.00,675,337500,151875,Outlet
Walmart,1197831,24-10-2020,South,Texas,Houston,Men's Apparel,45.00,650,292500,87750,Outlet
Walmart,1197831,25-10-2020,South,Texas,Houston,Women's Apparel,55.00,850,467500,233750,Outlet
Walmart,1197831,26-10-2020,South,Texas,Houston,Men's Street Footwear,45.00,950,427500,149625,Outlet
Walmart,1197831,27-10-2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950,427500,149625,Outlet
Walmart,1197831,28-10-2020,South,Texas,Houston,Women's Street Footwear,50.00,850,425000,148750,Outlet
Walmart,1197831,29-10-2020,South,Texas,Houston,Women's Athletic Footwear,50.00,700,350000,157500,Outlet
Walmart,1197831,30-10-2020,South,Texas,Houston,Men's Apparel,45.00,650,292500,87750,Outlet
Walmart,1197831,31-10-2020,South,Texas,Houston,Women's Apparel,55.00,900,495000,247500,Outlet
West Gear,1128299,01-11-2020,South,Texas,Houston,Men's Street Footwear,40.00,775,310000,108500,Outlet
West Gear,1128299,02-11-2020,South,Texas,Houston,Men's Athletic Footwear,50.00,775,387500,77500,Outlet
West Gear,1128299,03-11-2020,South,Texas,Houston,Women's Street Footwear,50.00,775,387500,135625,Outlet
West Gear,1128299,04-11-2020,South,Texas,Houston,Women's Athletic Footwear,50.00,625,312500,93750,Outlet
West Gear,1128299,05-11-2020,West,California,San Francisco,Men's Apparel,55.00,575,316250,158125,Outlet
West Gear,1128299,06-11-2020,West,California,San Francisco,Women's Apparel,50.00,775,387500,58125,Outlet
West Gear,1128299,07-11-2020,West,California,San Francisco,Men's Street Footwear,40.00,825,330000,115500,Outlet
West Gear,1128299,08-11-2020,West,California,San Francisco,Men's Athletic Footwear,50.00,725,362500,72500,Outlet
West Gear,1128299,09-11-2020,West,California,San Francisco,Women's Street Footwear,50.00,725,362500,126875,Outlet
West Gear,1128299,10-11-2020,West,California,San Francisco,Women's Athletic Footwear,50.00,575,287500,86250,Outlet
West Gear,1128299,11-11-2020,West,California,San Francisco,Men's Apparel,55.00,500,275000,137500,Outlet
West Gear,1128299,12-11-2020,West,California,San Francisco,Women's Apparel,50.00,700,350000,52500,Outlet
West Gear,1128299,13-11-2020,West,California,San Francisco,Men's Street Footwear,50.00,850,425000,148750,Outlet
West Gear,1128299,14-11-2020,West,California,San Francisco,Men's Athletic Footwear,60.00,700,420000,84000,Outlet
West Gear,1128299,15-11-2020,West,California,San Francisco,Women's Street Footwear,60.00,700,420000,147000,Outlet
West Gear,1128299,22-12-2020,West,California,San Francisco,Women's Athletic Footwear,60.00,600,360000,108000,Outlet
West Gear,1128299,23-12-2020,West,California,San Francisco,Men's Apparel,65.00,500,325000,162500,Outlet
West Gear,1128299,24-12-2020,West,California,San Francisco,Women's Apparel,60.00,700,420000,63000,Outlet
West Gear,1128299,25-12-2020,West,California,San Francisco,Men's Street Footwear,60.00,875,525000,183750,Outlet
West Gear,1128299,26-12-2020,West,California,San Francisco,Men's Athletic Footwear,65.00,675,438750,87750,Outlet
West Gear,1128299,27-12-2020,West,California,San Francisco,Women's Street Footwear,65.00,725,471250,164938,Outlet
West Gear,1128299,28-12-2020,West,California,San Francisco,Women's Athletic Footwear,60.00,625,375000,112500,Outlet
West Gear,1128299,29-12-2020,West,California,San Francisco,Men's Apparel,65.00,525,341250,170625,Outlet
West Gear,1128299,30-12-2020,West,California,San Francisco,Women's Apparel,80.00,700,560000,84000,Outlet
West Gear,1128299,31-12-2020,West,California,San Francisco,Men's Street Footwear,60.00,900,540000,216000,Outlet
West Gear,1128299,01-01-2021,West,California,San Francisco,Men's Athletic Footwear,65.00,750,487500,121875,Outlet
West Gear,1128299,02-01-2021,West,California,San Francisco,Women's Street Footwear,65.00,750,487500,195000,Outlet
West Gear,1128299,03-01-2021,West,California,San Francisco,Women's Athletic Footwear,60.00,650,390000,136500,Outlet
West Gear,1128299,04-01-2021,West,California,San Francisco,Men's Apparel,65.00,550,357500,196625,Outlet
West Gear,1128299,05-01-2021,West,California,San Francisco,Women's Apparel,80.00,725,580000,116000,Outlet
West Gear,1128299,06-01-2021,West,California,San Francisco,Men's Street Footwear,60.00,975,585000,234000,Outlet
West Gear,1128299,07-01-2021,West,California,San Francisco,Men's Athletic Footwear,65.00,825,536250,134063,Outlet
West Gear,1128299,08-01-2021,West,California,San Francisco,Women's Street Footwear,65.00,825,536250,214500,Outlet
West Gear,1128299,09-01-2021,West,California,San Francisco,Women's Athletic Footwear,60.00,700,420000,147000,Outlet
West Gear,1128299,10-01-2021,West,California,San Francisco,Men's Apparel,65.00,575,373750,205563,Outlet
West Gear,1128299,11-01-2021,West,California,San Francisco,Women's Apparel,80.00,875,700000,140000,Outlet
West Gear,1128299,12-01-2021,West,California,San Francisco,Men's Street Footwear,60.00,1025,615000,215250,Outlet
West Gear,1128299,13-01-2021,West,California,San Francisco,Men's Athletic Footwear,65.00,875,568750,113750,Outlet
West Gear,1128299,14-01-2021,West,California,San Francisco,Women's Street Footwear,65.00,825,536250,187688,Outlet
West Gear,1128299,15-01-2021,West,California,San Francisco,Women's Athletic Footwear,60.00,725,435000,130500,Outlet
West Gear,1128299,16-01-2021,West,California,San Francisco,Men's Apparel,65.00,775,503750,251875,Outlet
West Gear,1128299,17-01-2021,West,California,San Francisco,Women's Apparel,80.00,775,620000,93000,Outlet
West Gear,1128299,18-01-2021,West,California,San Francisco,Men's Street Footwear,65.00,975,633750,221813,Outlet
West Gear,1128299,19-01-2021,West,California,San Francisco,Men's Athletic Footwear,70.00,925,647500,129500,Outlet
West Gear,1128299,20-01-2021,West,California,San Francisco,Women's Street Footwear,65.00,800,520000,182000,Outlet
West Gear,1128299,21-01-2021,West,California,San Francisco,Women's Athletic Footwear,65.00,750,487500,146250,Outlet
West Gear,1128299,22-01-2021,West,California,San Francisco,Men's Apparel,75.00,750,562500,281250,Outlet
West Gear,1128299,23-01-2021,West,California,San Francisco,Women's Apparel,80.00,725,580000,87000,Outlet
West Gear,1128299,24-01-2021,West,California,San Francisco,Men's Street Footwear,55.00,925,508750,152625,Outlet
West Gear,1128299,25-01-2021,West,California,San Francisco,Men's Athletic Footwear,60.00,925,555000,83250,Outlet
West Gear,1128299,26-01-2021,West,California,San Francisco,Women's Street Footwear,55.00,775,426250,127875,Outlet
West Gear,1128299,27-01-2021,West,California,San Francisco,Women's Athletic Footwear,55.00,725,398750,99688,Outlet
West Gear,1128299,28-01-2021,West,California,San Francisco,Men's Apparel,65.00,725,471250,212063,Outlet
West Gear,1128299,29-01-2021,West,California,San Francisco,Women's Apparel,70.00,775,542500,54250,Outlet
West Gear,1128299,30-01-2021,West,California,San Francisco,Men's Street Footwear,55.00,875,481250,144375,Outlet
West Gear,1128299,31-01-2021,West,California,San Francisco,Men's Athletic Footwear,60.00,875,525000,78750,Outlet
West Gear,1128299,01-02-2021,West,California,San Francisco,Women's Street Footwear,55.00,700,385000,115500,Outlet
West Gear,1128299,02-02-2021,West,California,San Francisco,Women's Athletic Footwear,55.00,675,371250,92813,Outlet
West Gear,1128299,03-02-2021,West,California,San Francisco,Men's Apparel,65.00,650,422500,190125,Outlet
West Gear,1128299,04-02-2021,West,California,San Francisco,Women's Apparel,70.00,700,490000,49000,Outlet
West Gear,1128299,05-02-2021,West,California,San Francisco,Men's Street Footwear,55.00,875,481250,144375,Outlet
West Gear,1128299,06-02-2021,West,California,San Francisco,Men's Athletic Footwear,60.00,875,525000,78750,Outlet
West Gear,1128299,07-02-2021,West,California,San Francisco,Women's Street Footwear,55.00,725,398750,119625,Outlet
West Gear,1128299,08-02-2021,West,California,San Francisco,Women's Athletic Footwear,55.00,700,385000,96250,Outlet
West Gear,1128299,09-02-2021,West,California,San Francisco,Men's Apparel,65.00,650,422500,190125,Outlet
West Gear,1128299,10-02-2021,West,California,San Francisco,Women's Apparel,70.00,775,542500,54250,Outlet
West Gear,1128299,11-02-2021,West,California,San Francisco,Men's Street Footwear,55.00,975,536250,160875,Outlet
West Gear,1128299,12-02-2021,West,California,San Francisco,Men's Athletic Footwear,60.00,975,585000,87750,Outlet
West Gear,1128299,13-02-2021,West,California,San Francisco,Women's Street Footwear,55.00,775,426250,127875,Outlet
West Gear,1128299,14-02-2021,West,California,San Francisco,Women's Athletic Footwear,55.00,775,426250,106563,Outlet
West Gear,1128299,15-02-2021,West,California,San Francisco,Men's Apparel,65.00,700,455000,204750,Outlet
West Gear,1128299,16-02-2021,West,California,San Francisco,Women's Apparel,70.00,800,560000,56000,Outlet
Kohl's,1189833,17-02-2021,West,California,San Francisco,Men's Street Footwear,35.00,700,245000,98000,Outlet
Kohl's,1189833,18-02-2021,West,California,San Francisco,Men's Athletic Footwear,45.00,700,315000,78750,Outlet
Kohl's,1189833,09-03-2021,West,California,San Francisco,Women's Street Footwear,45.00,700,315000,126000,Outlet
Kohl's,1189833,10-03-2021,West,California,San Francisco,Women's Athletic Footwear,45.00,550,247500,86625,Outlet
Kohl's,1189833,11-03-2021,West,California,Los Angeles,Men's Apparel,50.00,500,250000,137500,Outlet
Kohl's,1189833,12-03-2021,West,California,Los Angeles,Women's Apparel,45.00,700,315000,63000,Outlet
Kohl's,1189833,13-03-2021,West,California,Los Angeles,Men's Street Footwear,35.00,750,262500,105000,Outlet
Kohl's,1189833,14-03-2021,West,California,Los Angeles,Men's Athletic Footwear,45.00,650,292500,73125,Outlet
Kohl's,1189833,15-03-2021,West,California,Los Angeles,Women's Street Footwear,45.00,675,303750,121500,Outlet
Kohl's,1189833,16-03-2021,West,California,Los Angeles,Women's Athletic Footwear,45.00,525,236250,82688,Outlet
Kohl's,1189833,17-03-2021,West,California,Los Angeles,Men's Apparel,50.00,450,225000,123750,Outlet
Kohl's,1189833,18-03-2021,West,California,Los Angeles,Women's Apparel,45.00,650,292500,58500,Outlet
Kohl's,1189833,19-03-2021,West,California,Los Angeles,Men's Street Footwear,35.00,800,280000,112000,Outlet
Kohl's,1189833,20-03-2021,West,California,Los Angeles,Men's Athletic Footwear,45.00,650,292500,73125,Outlet
Kohl's,1189833,21-03-2021,West,California,Los Angeles,Women's Street Footwear,45.00,650,292500,117000,Outlet
Kohl's,1189833,22-03-2021,West,California,Los Angeles,Women's Athletic Footwear,45.00,550,247500,86625,Outlet
Kohl's,1189833,23-03-2021,West,California,Los Angeles,Men's Apparel,50.00,425,212500,116875,Outlet
Kohl's,1189833,06-04-2021,West,California,Los Angeles,Women's Apparel,45.00,625,281250,56250,Outlet
Kohl's,1189833,07-04-2021,West,California,Los Angeles,Men's Street Footwear,45.00,800,360000,144000,Outlet
Kohl's,1189833,08-04-2021,West,California,Los Angeles,Men's Athletic Footwear,50.00,600,300000,75000,Outlet
Kohl's,1189833,09-04-2021,West,California,Los Angeles,Women's Street Footwear,50.00,625,312500,125000,Outlet
Kohl's,1189833,10-04-2021,West,California,Los Angeles,Women's Athletic Footwear,45.00,525,236250,82688,Outlet
Kohl's,1189833,11-04-2021,West,California,Los Angeles,Men's Apparel,50.00,425,212500,116875,Outlet
Kohl's,1189833,12-04-2021,West,California,Los Angeles,Women's Apparel,65.00,600,390000,78000,Outlet
Kohl's,1189833,13-04-2021,West,California,Los Angeles,Men's Street Footwear,45.00,800,360000,144000,Outlet
Kohl's,1189833,14-04-2021,West,California,Los Angeles,Men's Athletic Footwear,50.00,650,325000,81250,Outlet
Kohl's,1189833,15-04-2021,West,California,Los Angeles,Women's Street Footwear,50.00,650,325000,130000,Outlet
Kohl's,1189833,16-04-2021,West,California,Los Angeles,Women's Athletic Footwear,45.00,550,247500,86625,Outlet
Kohl's,1189833,17-04-2021,West,California,Los Angeles,Men's Apparel,50.00,450,225000,123750,Outlet
Kohl's,1189833,18-04-2021,West,California,Los Angeles,Women's Apparel,65.00,625,406250,81250,Outlet
Kohl's,1189833,19-04-2021,West,California,Los Angeles,Men's Street Footwear,45.00,900,405000,162000,Outlet
Kohl's,1189833,20-04-2021,West,California,Los Angeles,Men's Athletic Footwear,50.00,750,375000,93750,Outlet
Kohl's,1189833,21-04-2021,West,California,Los Angeles,Women's Street Footwear,50.00,750,375000,150000,Outlet
Kohl's,1189833,22-04-2021,West,California,Los Angeles,Women's Athletic Footwear,45.00,625,281250,98438,Outlet
Kohl's,1189833,23-04-2021,West,California,Los Angeles,Men's Apparel,50.00,500,250000,137500,Outlet
Kohl's,1189833,24-04-2021,West,California,Los Angeles,Women's Apparel,65.00,800,520000,104000,Outlet
Kohl's,1189833,25-04-2021,West,California,Los Angeles,Men's Street Footwear,45.00,950,427500,171000,Outlet
Kohl's,1189833,26-04-2021,West,California,Los Angeles,Men's Athletic Footwear,50.00,800,400000,100000,Outlet
Kohl's,1189833,27-04-2021,West,California,Los Angeles,Women's Street Footwear,50.00,750,375000,150000,Outlet
Kohl's,1189833,28-04-2021,West,California,Los Angeles,Women's Athletic Footwear,45.00,650,292500,102375,Outlet
Kohl's,1189833,29-04-2021,West,California,Los Angeles,Men's Apparel,50.00,700,350000,192500,Outlet
Kohl's,1189833,30-04-2021,West,California,Los Angeles,Women's Apparel,65.00,700,455000,91000,Outlet
Kohl's,1189833,01-05-2021,West,California,Los Angeles,Men's Street Footwear,50.00,900,450000,180000,Outlet
